date,cor_code,경기전망,내수전망,수출전망,업체간 과당경쟁,영업이익실적,인건비상승,인력확보난,자금사정실적,자금조달곤란,판매대금회수지연,도산가능성
2019-02-01,360038,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,3.78
2019-03-01,360038,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.95
2019-04-01,360038,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.91
2019-05-01,360038,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.41
2019-06-01,360038,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.82
2019-07-01,360038,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.97
2019-08-01,360038,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.58
2019-09-01,360038,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.34
2019-10-01,360038,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.72
2019-11-01,360038,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.26
2019-12-01,360038,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.91
2020-01-01,360038,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,3.52
